Cycle_BatchID,T_delay_10,T_delay_9,T_delay_8,T_delay_7,T_delay_6,T_delay_5,T_delay_4,T_delay_3,T_delay_2,T_delay_1,T_production_1,T_production_2,T_production_3.1,T_production_3.2,T_production_4.2,T_production_5,T_production_6,T_production_7,T_production_9,T_production_10,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_9,T_10,T_total,M_delay_9,M_delay_8,M_delay_7,M_delay_5,M_delay_3,M_production_1,M_production_2,M_production_3.1,M_production_3.2,M_production_4.2,M_production_4.3,M_production_5,M_production_6,M_production_7,M_production_8,M_production_9,M_production_10,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_total
E_44,0.0,0.7845528455284553,0.0,0.03987730061349693,0.8299180327868853,0.14409722222222224,0.2204968944099379,0.0,0.8636363636363636,0.0,0.09646739130434782,0.4008152173913044,0.6671195652173912,0.5529891304347826,0.10190217391304347,0.561141304347826,0.5475543478260869,0.8491847826086956,0.59375,0.9225543478260869,0.09918478260869565,0.9551630434782609,0.36820652173913043,0.65625,0.37635869565217395,0.8654891304347826,0.7214673913043478,0.8464673913043478,0.6888586956521738,0.7323369565217391,0.04755434782608696,0.6779891304347826,0.577445652173913,0.39809782608695654,0.6508152173913043,0.25679347826086957,0.3519021739130435,0.873641304347826,0.17255434782608695,0.10190217391304347,0.17527173913043478,0.7513586956521738,0.4470108695652174,0.6209239130434783,0.9470108695652174,0.3736413043478261,0.8410326086956521,0.25679347826086957,0.3519021739130435,0.2214673913043478,0.10190217391304347,0.4986413043478261,0.4470108695652174,0.6182065217391304,0.9307065217391304,0.34646739130434784,0.8410326086956521,0.2078804347826087
E_45,0.0,0.0,0.7198795180722891,0.9049079754601227,0.5430327868852459,0.7378472222222222,0.2391304347826087,0.0,0.44214876033057854,0.0,0.9225543478260869,0.22690217391304346,0.6807065217391304,0.34646739130434784,0.3899456521739131,0.3627717391304348,0.8383152173913043,0.561141304347826,0.9932065217391304,0.5828804347826086,0.6589673913043478,0.8192934782608695,0.297554347826087,0.6671195652173912,0.8165760869565217,0.8057065217391304,0.9171195652173912,0.9769021739130435,0.3491847826086957,0.9660326086956521,0.6671195652173912,0.84375,0.9959239130434783,0.8682065217391304,0.6480978260869565,0.46059782608695654,0.2540760869565218,0.8953804347826086,0.297554347826087,0.33559782608695654,0.889945652173913,0.7676630434782609,0.07744565217391304,0.748641304347826,0.13451086956521738,0.004076086956521739,0.5475543478260869,0.46059782608695654,0.2540760869565218,0.35733695652173914,0.33559782608695654,0.90625,0.07744565217391304,0.9932065217391304,0.2894021739130435,0.004076086956521739,0.5475543478260869,0.2595108695652174
E_46,0.0,0.4512195121951219,0.41867469879518077,0.8619631901840491,0.4077868852459017,0.7135416666666666,0.0,0.1271186440677966,0.5991735537190083,0.0,0.59375,0.2894021739130435,0.9850543478260869,0.6535326086956521,0.46875,0.39266304347826086,0.7513586956521738,0.42798913043478265,0.9823369565217391,0.6725543478260869,0.35461956521739135,0.8682065217391304,0.5910326086956521,0.2540760869565218,0.7866847826086956,0.686141304347826,0.8519021739130435,0.9741847826086956,0.4415760869565218,0.9307065217391304,0.19972826086956522,0.08559782608695651,0.9850543478260869,0.7894021739130435,0.8464673913043478,0.4035326086956522,0.21331521739130435,0.8682065217391304,0.06929347826086955,0.46875,0.3736413043478261,0.49048913043478265,0.15625,0.6616847826086956,0.8845108695652174,0.020380434782608696,0.6372282608695652,0.4035326086956522,0.21331521739130435,0.22690217391304346,0.46875,0.7921195652173912,0.15625,0.9796195652173912,0.5964673913043478,0.014945652173913044,0.6372282608695652,0.1671195652173913
E_47,0.0,0.0,0.0,0.0,0.8381147540983607,0.796875,0.0,0.28531073446327687,0.0,0.0,0.6888586956521738,0.2214673913043478,0.8845108695652174,0.7567934782608695,0.1589673913043478,0.84375,0.16983695652173914,0.6182065217391304,0.40625,0.6535326086956521,0.4524456521739131,0.09103260869565216,0.6698369565217391,0.08559782608695651,0.8573369565217391,0.7676630434782609,0.44972826086956524,0.3627717391304348,0.41711956521739135,0.3899456521739131,0.33559782608695654,0.36548913043478265,0.11548913043478261,0.6671195652173912,0.998641304347826,0.5801630434782609,0.12092391304347826,0.6779891304347826,0.04755434782608696,0.12635869565217392,0.7160326086956521,0.8654891304347826,0.26766304347826086,0.8328804347826086,0.6046195652173912,0.4470108695652174,0.5067934782608695,0.5801630434782609,0.12092391304347826,0.6019021739130435,0.12635869565217392,0.8247282608695652,0.26766304347826086,0.5394021739130435,0.6182065217391304,0.5258152173913043,0.5067934782608695,0.5421195652173912
E_48,0.8197674418604651,0.36178861788617883,0.9066265060240963,0.5920245398773006,0.2520491803278689,0.921875,0.36335403726708076,0.4322033898305085,0.0,0.0,0.6644021739130435,0.23777173913043478,0.7730978260869565,0.2296195652173913,0.1453804347826087,0.811141304347826,0.8845108695652174,0.6127717391304347,0.8763586956521738,0.1046195652173913,0.42798913043478265,0.08559782608695651,0.7350543478260869,0.7214673913043478,0.9442934782608695,0.6970108695652174,0.7894021739130435,0.8790760869565217,0.9633152173913043,0.9769021739130435,0.11005434782608695,0.16440217391304346,0.84375,0.2105978260869565,0.9714673913043478,0.6480978260869565,0.13451086956521738,0.8519021739130435,0.3790760869565218,0.20244565217391303,0.2894021739130435,0.889945652173913,0.422554347826087,0.6970108695652174,0.6426630434782609,0.13994565217391303,0.8926630434782609,0.6480978260869565,0.13451086956521738,0.8410326086956521,0.20244565217391303,0.5067934782608695,0.422554347826087,0.8627717391304347,0.5230978260869565,0.12364130434782608,0.8926630434782609,0.8138586956521738
E_49,0.0,0.7601626016260163,0.0,0.5368098159509203,0.0,0.2864583333333333,0.38198757763975155,0.2740112994350283,0.9049586776859504,0.0,0.28125,0.23233695652173914,0.7540760869565217,0.1453804347826087,0.7758152173913043,0.6997282608695652,0.952445652173913,0.8573369565217391,0.6725543478260869,0.6182065217391304,0.18885869565217392,0.96875,0.6480978260869565,0.7296195652173912,0.5285326086956521,0.4660326086956522,0.8790760869565217,0.8654891304347826,0.38722826086956524,0.8519021739130435,0.08016304347826086,0.2404891304347826,0.686141304347826,0.8355978260869565,0.11005434782608695,0.37635869565217395,0.297554347826087,0.8355978260869565,0.6019021739130435,0.7758152173913043,0.3953804347826087,0.36548913043478265,0.09375,0.9605978260869565,0.042119565217391304,0.26766304347826086,0.7595108695652174,0.37635869565217395,0.297554347826087,0.4144021739130435,0.7758152173913043,0.7567934782608695,0.09375,0.7459239130434783,0.050271739130434784,0.2404891304347826,0.7595108695652174,0.2866847826086957
E_5,0.0,0.26422764227642276,0.6837349397590361,0.0,0.2069672131147541,0.7795138888888888,0.0,0.0,0.7809917355371901,0.0,0.5692934782608695,0.2785326086956522,0.8029891304347826,0.24864130434782608,0.5828804347826086,0.6372282608695652,0.7839673913043478,0.748641304347826,0.3845108695652174,0.8328804347826086,0.3328804347826087,0.9279891304347826,0.3627717391304348,0.31929347826086957,0.8383152173913043,0.6154891304347826,0.5448369565217391,0.6480978260869565,0.5991847826086956,0.6535326086956521,0.2105978260869565,0.9497282608695652,0.30570652173913043,0.8084239130434783,0.4633152173913044,0.5557065217391304,0.26766304347826086,0.7595108695652174,0.3627717391304348,0.514945652173913,0.042119565217391304,0.6154891304347826,0.13722826086956522,0.8383152173913043,0.03940217391304348,0.5502717391304347,0.6480978260869565,0.5557065217391304,0.26766304347826086,0.4116847826086957,0.514945652173913,0.8355978260869565,0.13722826086956522,0.5448369565217391,0.25135869565217395,0.4877717391304348,0.6480978260869565,0.32472826086956524
E_50,0.0,0.4186991869918699,0.0572289156626506,0.2300613496932515,0.6741803278688525,0.8871527777777777,0.2701863354037267,0.9350282485875706,0.9132231404958678,0.0,0.6290760869565217,0.6644021739130435,0.485054347826087,0.623641304347826,0.28125,0.7432065217391304,0.38179347826086957,0.6942934782608695,0.6942934782608695,0.12635869565217392,0.39266304347826086,0.9714673913043478,0.96875,0.6807065217391304,0.9116847826086956,0.7377717391304347,0.6644021739130435,0.7758152173913043,0.07472826086956522,0.9225543478260869,0.20516304347826086,0.05298913043478261,0.59375,0.3111413043478261,0.8709239130434783,0.44972826086956524,0.3491847826086957,0.4986413043478261,0.10733695652173912,0.13179347826086957,0.623641304347826,0.9171195652173912,0.4633152173913044,0.6046195652173912,0.702445652173913,0.360054347826087,0.8192934782608695,0.4524456521739131,0.3491847826086957,0.3274456521739131,0.13179347826086957,0.53125,0.4633152173913044,0.6372282608695652,0.2785326086956522,0.35733695652173914,0.8192934782608695,0.3002717391304348
E_51,0.6104651162790697,0.540650406504065,0.2981927710843374,0.6226993865030676,0.05942622950819672,0.7621527777777777,0.0,0.9858757062146892,0.0,0.0,0.006793478260869565,0.03125,0.03125,0.03940217391304348,0.01766304347826087,0.033967391304347824,0.009510869565217392,0.03940217391304348,0.036684782608695655,0.009510869565217392,0.001358695652173913,0.009510869565217392,0.9904891304347826,0.014945652173913044,0.35733695652173914,0.01766304347826087,0.042119565217391304,0.5013586956521738,0.889945652173913,0.05298913043478261,0.07472826086956522,0.90625,0.7703804347826086,0.6752717391304347,0.9796195652173912,0.03125,0.001358695652173913,0.023097826086956524,0.006793478260869565,0.025815217391304348,0.46059782608695654,0.023097826086956524,0.9823369565217391,0.012228260869565216,0.10733695652173912,0.9605978260869565,0.9850543478260869,0.03125,0.001358695652173913,0.10190217391304347,0.025815217391304348,0.01766304347826087,0.9823369565217391,0.03940217391304348,0.3519021739130435,0.9605978260869565,0.9850543478260869,0.5448369565217391
E_52,0.0,0.0,0.2921686746987952,0.0,0.2848360655737705,0.8697916666666666,0.7795031055900622,0.7429378531073446,0.0,0.0,0.31385869565217395,0.24864130434782608,0.5883152173913043,0.22690217391304346,0.30842391304347827,0.8790760869565217,0.53125,0.764945652173913,0.5991847826086956,0.7758152173913043,0.20516304347826086,0.13451086956521738,0.8763586956521738,0.9035326086956521,0.9144021739130435,0.5394021739130435,0.5638586956521738,0.47146739130434784,0.5394021739130435,0.6997282608695652,0.422554347826087,0.04483695652173913,0.4144021739130435,0.7948369565217391,0.18070652173913043,0.4877717391304348,0.2595108695652174,0.8057065217391304,0.4116847826086957,0.23777173913043478,0.6915760869565217,0.7160326086956521,0.1453804347826087,0.623641304347826,0.31929347826086957,0.5394021739130435,0.5339673913043478,0.4877717391304348,0.2595108695652174,0.36548913043478265,0.23777173913043478,0.8600543478260869,0.1453804347826087,0.4524456521739131,0.05298913043478261,0.5584239130434783,0.5339673913043478,0.21331521739130435
E_53,0.0,0.0,0.1355421686746988,0.0,0.0,0.16145833333333334,0.0,0.2627118644067797,0.0,0.0,0.7758152173913043,0.7105978260869565,0.5557065217391304,0.4415760869565218,0.5747282608695652,0.3410326086956522,0.7404891304347826,0.5529891304347826,0.5095108695652174,0.8872282608695652,0.5122282608695652,0.26222826086956524,0.6453804347826086,0.3491847826086957,0.39809782608695654,0.34375,0.39809782608695654,0.422554347826087,0.6535326086956521,0.2866847826086957,0.9144021739130435,0.17527173913043478,0.2758152173913044,0.47146739130434784,0.8627717391304347,0.25135869565217395,0.5339673913043478,0.6073369565217391,0.9470108695652174,0.5339673913043478,0.8872282608695652,0.4116847826086957,0.3165760869565218,0.9796195652173912,0.43342391304347827,0.41711956521739135,0.485054347826087,0.25135869565217395,0.5339673913043478,0.9959239130434783,0.5339673913043478,0.39809782608695654,0.3165760869565218,0.6019021739130435,0.30298913043478265,0.5095108695652174,0.485054347826087,0.9877717391304347
E_54,0.0,0.0,0.9487951807228915,0.1687116564417178,0.7151639344262295,0.7274305555555555,0.767080745341615,0.46045197740113,0.8057851239669421,0.0,0.8845108695652174,0.34375,0.5339673913043478,0.7350543478260869,0.3410326086956522,0.4769021739130435,0.9932065217391304,0.3736413043478261,0.5421195652173912,0.8763586956521738,0.6209239130434783,0.936141304347826,0.7459239130434783,0.9008152173913043,0.8084239130434783,0.9578804347826086,0.4144021739130435,0.4415760869565218,0.6426630434782609,0.9035326086956521,0.936141304347826,0.7676630434782609,0.6100543478260869,0.6970108695652174,0.8872282608695652,0.37092391304347827,0.44972826086956524,0.43342391304347827,0.6888586956521738,0.3627717391304348,0.6263586956521738,0.5584239130434783,0.22418478260869565,0.7540760869565217,0.65625,0.3491847826086957,0.4769021739130435,0.37092391304347827,0.44972826086956524,0.9252717391304347,0.3627717391304348,0.7323369565217391,0.22418478260869565,0.6508152173913043,0.6589673913043478,0.360054347826087,0.47961956521739135,0.9144021739130435
E_55,0.0,0.3943089430894309,0.0,0.745398773006135,0.7561475409836066,0.6788194444444444,0.9161490683229814,0.7598870056497175,0.6239669421487604,0.0,0.8709239130434783,0.6589673913043478,0.6209239130434783,0.8464673913043478,0.30298913043478265,0.2785326086956522,0.4144021739130435,0.37092391304347827,0.84375,0.6752717391304347,0.6019021739130435,0.8763586956521738,0.889945652173913,0.9660326086956521,0.7540760869565217,0.8029891304347826,0.7377717391304347,0.84375,0.44429347826086957,0.9144021739130435,0.24864130434782608,0.5828804347826086,0.8682065217391304,0.6182065217391304,0.9932065217391304,0.2758152173913044,0.37092391304347827,0.5448369565217391,0.5203804347826086,0.2785326086956522,0.4470108695652174,0.4035326086956522,0.28125,0.7269021739130435,0.2866847826086957,0.11820652173913043,0.639945652173913,0.2758152173913044,0.37092391304347827,0.9741847826086956,0.2785326086956522,0.5095108695652174,0.28125,0.8845108695652174,0.30570652173913043,0.11005434782608695,0.639945652173913,0.9470108695652174
E_56,0.0,0.044715447154471545,0.0,0.35276073619631904,0.8545081967213115,0.9114583333333333,0.41304347826086957,0.03672316384180791,0.6074380165289256,0.0,0.686141304347826,0.7133152173913043,0.3274456521739131,0.9252717391304347,0.5475543478260869,0.25679347826086957,0.5122282608695652,0.43885869565217395,0.764945652173913,0.18070652173913043,0.4415760869565218,0.8709239130434783,0.5394021739130435,0.7459239130434783,0.9252717391304347,0.889945652173913,0.5421195652173912,0.6671195652173912,0.08559782608695651,0.7078804347826086,0.297554347826087,0.6290760869565217,0.7866847826086956,0.936141304347826,0.8546195652173912,0.4008152173913044,0.34375,0.40896739130434784,0.2540760869565218,0.3111413043478261,0.8519021739130435,0.4741847826086957,0.04483695652173913,0.7241847826086956,0.20516304347826086,0.18342391304347824,0.6779891304347826,0.4008152173913044,0.34375,0.43342391304347827,0.3111413043478261,0.8953804347826086,0.04483695652173913,0.8138586956521738,0.22418478260869565,0.18342391304347824,0.6779891304347826,0.3274456521739131
